,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
1082,1242,248,bad actor,His reputation as a bad actor in the industry made it difficult for him to find any meaningful work.,Sadness,True,False
3688,4274,854,day and night,"Their loud arguments became a day and night occurrence, affecting everyone in the house.",Anxiety,True,False
1731,2000,400,blow off,Sarah decided to blow off steam by hitting the gym after the exhausting day at work.,Frustration,True,False
6116,7132,1426,go bananas,Working on the same problem for hours made her go bananas.,Frustration,True,False
3280,3798,759,come unstuck,"Despite his endless practice, the delicate nature of his art project caused him to come unstuck at the last moment, leaving him utterly crushed.",Sadness,True,False
6650,7751,1550,grind out,The relentless noise of the construction work grinding out next door left her with a splitting headache all day.,Frustration,True,False
4033,4681,936,dog and pony show,"The company's presentation was just a dog and pony show, leaving everyone utterly unimpressed.",Disgust,True,False
1518,1759,351,big year,The big year they planned was ruined by unpredictable circumstances.,Frustration,True,False
2580,2980,596,can't stand,I can't stand the way he always interrupts people when they're talking - it's so rude.,Anger,True,False
4055,4705,941,dog's life,"He was tired of living a dog's life, struggling every day just to make ends meet.",Frustration,True,False
3493,4046,809,crony capitalism,"As an honest small business owner, it's disheartening to see crony capitalism stack the odds against me.",Frustration,True,False
5441,6337,1267,fresh out of,"When he found out they were fresh out of tickets, he couldn't help but feel robbed of a great experience.",Frustration,True,False
4066,4718,943,don't hold your breath,"You want him to ask you out? Well, don't hold your breath on that happening.",Pity,True,False
6607,7698,1539,greasy spoon,"Margaret rolled her eyes as she remembered the countless times her dad dragged her to the greasy spoon, causing her to feel frustrated with her lack of choices.",Frustration,True,False
1495,1731,346,big spender,"It's clear she doesn't have any concern for saving money, being such a big spender.",Disgust,True,False
1158,1331,266,balls-up,I can't believe I made such a balls-up of the project; I'll never get it right.,Frustration,True,False
7683,8949,1789,humble pie,She feared the moment when she'd have to dish out a portion of humble pie to herself and apologize for her mistakes.,Anxiety,True,False
6440,7508,1501,gold plate,I find it ridiculous that they would gold plate such mundane items just for the sake of appearances.,Disgust,True,False
1267,1466,293,beg to differ,Her tone was icy as she bitterly begged to differ.,Resentment,True,False
4949,5766,1153,fill one's boots,"Despite his promotion, he couldn't enjoy filling his boots because he knew others deserved it more.",Guilt,True,False
7038,8212,1642,have one's way with,Her frustration boiled over as she realized she couldn't have her way with the stubborn computer system at work.,Frustration,True,False
2939,3395,679,chopped liver,Being treated like chopped liver really fuels my resentment towards them.,Resentment,True,False
826,941,188,at bay,"Every time her neighbor's dog barks at night, she struggles to keep her annoyance at bay.",Frustration,True,False
5742,6687,1337,get into trouble,"I got into trouble at work today, and it left me feeling extremely nervous for my job security.",Anxiety,True,False
7730,9001,1800,if need be,"I'll miss having Alice on our team, but if need be, we will manage without her.",Sadness,True,False
3702,4289,857,day or night,"This new medication makes me sleepy day or night, leaving me in a state of constant exhaustion.",Frustration,True,False
4231,4921,984,dress down,I can't believe she had the audacity to dress me down in front of everyone at the meeting.,Humiliation,True,False
1572,1819,363,bite the bullet,"When they announced the company-wide pay cuts, everyone had to bite the bullet and accept the new policy.",Resentment,True,False
700,802,160,as it happens,"As it happens, the book I was searching for is out of stock on every website.",Frustration,True,False
2743,3165,633,cease to be,"When she finally decided to cease to be friends with him, she experienced a deep sense of sadness.",Sadness,True,False
3009,3478,695,clear one's lines,I'll clear my lines next time I encounter her and settle our differences once and for all.,Anger,True,False
6371,7425,1485,go towards,His rebellious behavior seems to go towards provoking his parents at every chance.,Frustration,True,False
8118,9446,1889,in the making,"I could feel the tension between them, and it was obvious that a conflict was in the making.",Anxiety,True,False
4395,5119,1023,early bath,"When she heard her friends gossiping behind her back, she decided to take an early bath and leave the party.",Humiliation,True,False
7569,8821,1764,hop up,"When she saw the spider, she hopped up in terror and ran away.",Fear,True,False
530,613,122,ambulance chasing,These ambulance chasing reporters are exploiting people's pain for their own benefit.,Anger,True,False
1042,1196,239,back off,"Helen, feeling overwhelmed by her mother's constant questioning, finally snapped and told her to back off.",Frustration,True,False
8586,9984,1996,knock down,It breaks my heart to see old buildings being knocked down to make way for new developments.,Sadness,True,False
1630,1890,378,blame game,They're always playing the blame game whenever something goes wrong at work.,Frustration,True,False
6006,7005,1401,give chase,"The cunning fox managed to escape once more, prompting the frustrated hunters to give chase yet again.",Frustration,True,False
7745,9017,1803,if only,If only he would notice how much effort I put into our relationship.,Frustration,True,False
963,1105,221,at the very least,"At the very least, he could have apologized for his behavior.",Resentment,True,False
2851,3290,658,cheese it,"When I saw my mom with my hidden stash of candy, I knew I had to cheese it from the room.",Anxiety,True,False
7789,9065,1813,in all honesty,"In all honesty, her betrayal left me seething with uncontrollable ire.",Anger,True,False
3234,3744,748,come to light,"It wasn't until the investigation progressed that the real motive came to light, causing the detective's heart to race with anxiety.",Anxiety,True,False
4763,5555,1111,fallen over,"When I saw him fallen over in the middle of the race, I couldn't help feeling a deep sense of sadness for him.",Sadness,True,False
6627,7722,1544,green light,"She was annoyed that her brother got the green light, but she didn't.",Resentment,True,False
3907,4536,907,dirty work,"Being the youngest sibling, I'm always stuck with the dirty work around the house.",Resentment,True,False
980,1125,225,at variance,Their constant arguments left a feeling of chaos among the group members.,Frustration,True,False
5886,6859,1371,get the ball rolling,It took a while for her to muster up the energy to get the ball rolling again after the setback.,Frustration,True,False
487,556,111,all the same,"I knew the truth, but it stung all the same when I heard it from her.",Sadness,True,False
2397,2764,552,buy out,The thought of someone else buying out the family business and changing its entire history filled her with apprehension.,Fear,True,False
5846,6808,1361,get one's way,"When he couldn't get his way, his mood turned to anger and he stormed off.",Anger,True,False
6447,7516,1503,golden duck,Rachel was seething the moment she got out for a golden duck.,Anger,True,False
8188,9521,1904,in the short run,"Facing the competition, she doubted that her business would succeed in the short run.",Anxiety,True,False
1640,1902,380,blank out,Blanking out choices because of their past mistakes prevented her from giving them a second chance.,Resentment,True,False
